All episodes rewards:
Episode 1: 229.0 points
Episode 2: -383.0 points
Episode 3: -373.0 points
Episode 4: -429.0 points
Episode 5: -655.5 points
Episode 6: -437.5 points
Episode 7: -541.0 points
Episode 8: -399.5 points
Episode 9: -409.5 points
Episode 10: -531.0 points
Episode 11: 316.5 points
Episode 12: -654.5 points
Episode 13: -511.5 points
Episode 14: -342.0 points
Episode 15: -516.5 points
Episode 16: -422.0 points
Episode 17: -400.0 points
Episode 18: -423.5 points
Episode 19: -472.5 points
Episode 20: -440.0 points
Episode 21: -298.0 points
Episode 23: -435.5 points
Episode 24: -315.5 points
Episode 25: -374.5 points
Episode 26: -441.0 points
Episode 27: -469.0 points
Episode 28: -341.0 points
Episode 29: -471.0 points
Episode 30: -375.0 points
All episodes rewards:
Episode 1: -546.0 points
Episode 2: -496.5 points
Episode 3: -451.5 points
Episode 4: -404.5 points
Episode 5: 203.0 points
Episode 6: -352.0 points
Episode 7: -402.5 points
Episode 8: -398.5 points
Episode 9: 216.5 points
Episode 10: -336.0 points
Episode 11: -424.5 points
Episode 12: -339.5 points
Episode 13: -325.5 points
Episode 14: -404.0 points
Episode 15: -425.5 points
Episode 16: 188.0 points
Episode 17: -398.0 points
Episode 18: -506.5 points
Episode 19: -405.0 points
Episode 20: 123.0 points
Episode 21: -453.0 points
Episode 22: -691.5 points
Episode 23: 311.0 points
Episode 24: -409.5 points
Episode 25: -426.0 points
Episode 26: -530.0 points
Episode 27: -402.5 points
Episode 28: -381.5 points
Episode 29: -226.0 points
Episode 30: -518.0 points
All episodes rewards:
Episode 1: 283.5 points
Episode 2: -416.5 points
Episode 3: 185.5 points
Episode 4: -336.0 points
Episode 5: -423.5 points
Episode 6: -475.5 points
Episode 7: -373.5 points
Episode 8: -510.0 points
Episode 9: -339.0 points
Episode 10: -441.5 points
Episode 11: -519.5 points
Episode 12: -372.0 points
Episode 13: -400.5 points
Episode 14: -510.0 points
Episode 15: -347.0 points
Episode 16: -538.5 points
Episode 17: -543.5 points
Episode 18: -396.0 points
Episode 19: -407.0 points
Episode 20: -459.0 points
Episode 21: 339.5 points
Episode 22: -376.0 points
Episode 23: 259.0 points
Episode 24: -536.5 points
Episode 25: -379.0 points
Episode 26: -593.5 points
Episode 27: -591.5 points
Episode 28: -358.5 points
Episode 29: -332.0 points
Episode 30: -332.0 points
Episode 31: -399.5 points
Episode 32: -420.5 points
Episode 33: -421.5 points
Episode 34: -494.0 points
Episode 35: -233.0 points
Episode 36: -455.0 points
Episode 37: 345.0 points
Episode 38: 287.0 points
Episode 39: -604.5 points
Episode 40: -393.5 points
Episode 41: -392.0 points
Episode 42: -334.5 points
Episode 43: 314.0 points
Episode 44: 202.0 points
Episode 45: -369.0 points
Episode 46: 231.5 points
Episode 47: -556.5 points
Episode 48: -359.5 points
Episode 49: -420.5 points
Episode 50: -466.5 points
Episode 51: 243.5 points
Episode 52: -418.5 points
Episode 53: -309.5 points
Episode 54: -547.0 points
Episode 55: -466.0 points
Episode 56: -420.5 points
Episode 57: -553.5 points
Episode 58: -380.0 points
Episode 59: -425.0 points
Episode 60: -393.5 points
Episode 61: -431.0 points
Episode 62: -334.5 points
Episode 63: -296.5 points
Episode 64: -354.5 points
Episode 65: 471.5 points
Episode 66: -328.5 points
Episode 67: -261.0 points
Episode 68: -290.5 points
Episode 69: -464.0 points
Episode 70: -497.5 points
Episode 71: -287.5 points
Episode 72: -458.0 points
Episode 73: -231.5 points
Episode 74: -442.5 points
Episode 75: -296.0 points
Episode 76: -406.0 points
Episode 77: -266.0 points
Episode 78: 217.0 points
Episode 79: -414.0 points
Episode 80: 217.0 points
Episode 81: -387.5 points
Episode 82: -549.0 points
Episode 83: -348.0 points
Episode 84: -358.5 points
Episode 85: -452.5 points
Episode 86: -310.0 points
Episode 87: 116.5 points
Episode 88: 315.0 points
Episode 89: -471.0 points
Episode 90: -436.0 points
Episode 91: -431.5 points
Episode 92: -415.0 points
Episode 93: -360.5 points
Episode 94: -372.5 points
Episode 95: -454.5 points
Episode 96: -529.5 points
Episode 97: -494.5 points
Episode 98: -474.5 points
Episode 99: 243.0 points
Episode 100: 63.0 points
Episode 101: -412.0 points
Episode 102: -321.0 points
Episode 103: -367.5 points
Episode 104: -297.0 points
Episode 105: -459.5 points
Episode 106: -527.5 points
Episode 107: -460.5 points
Episode 108: -489.0 points
Episode 109: -293.5 points
Episode 110: -510.0 points
Episode 111: -398.5 points
Episode 112: -446.5 points
Episode 113: -330.0 points
Episode 114: -413.5 points
Episode 115: -411.5 points
Episode 116: -443.0 points
Episode 117: -429.0 points
Episode 118: -409.5 points
