name,symbol
Vörös pusztaság,fortress
Astapor,siegeEngine
Volantis,siegeEngine
Síkföld,knight
Keleti Dothraki-tenger,siegeEngine
Lábnyom,fortress
Északi Dothraki-tenger,knight
Mantarys,knight
Bayasabhad,knight
Norvosi-hegyek,knight
Vaes Dothrak,knight
Tyrosh,fortress
Lhazar,fortress
Oros,knight
Lys,knight
Sarnor,siegeEngine
Narancspart,siegeEngine
Bárd,fortress
Alsó-Rhoyne,fortress
Aranymezők,siegeEngine
Braavosi partvidék,siegeEngine
Qarth,siegeEngine
Qohori-erdő,siegeEngine
Myr,knight
Új-Ghis,siegeEngine
Ó-Ghis,knight
Samyrian,fortress
Yunkai,knight
Meereen,fortress
Nyugati Dothraki-tenger,fortress
Valyria,fortress
Sóhajok tengere,siegeEngine
Északi Jáde-tenger,siegeEngine
Felső-Rhoyne,fortress
Valar Morghulis,end
